TCONST  ,PRIMARYTITLE  ,STARTYEAR ,GENRES 
tt0015724,Dama de noche,1993,"Drama,Mystery,Romance"
tt0059900,"Wenn du groß bist, lieber Adam",1990,"Drama,Fantasy"
tt0064994,Larks on a String,1990,"Comedy,Drama,Romance"
tt0065188,"Vojtech, receny sirotek",1990,NULL
tt0073481,Old Times,1991,Drama
tt0077432,Dip huet kei bing,1991,"Action,Drama"
tt0078006,Norman and the Killer,1991,"Horror,Short"
tt0080217,Hana no mahoutsukai Mary Bell,1992,"Animation,Comedy"
tt0081008,Kommen und gehen,1994,Documentary
tt0081145,Me and the Kid,1993,"Comedy,Crime,Drama"
tt0081436,Rosa Heimat - eine Landillusion,1990,NULL
tt0081721,Vincent and Me,1990,"Drama,Family,Fantasy"
tt0081801,Die Zeugin,1990,Crime
tt0084015,Goodbye Paradise,1991,Drama
tt0084551,The Buddhist Spell,1993,"Comedy,Drama,Fantasy"
tt0084870,Memories and Confessions,1993,"Biography,Documentary,History"
tt0088267,Tian di xuan men,1991,"Action,Comedy,Fantasy"
tt0088283,Tod durch elektrischen Strom,1990,"Crime,Drama"
tt0088472,An Actor's Life for Me,1991,Comedy
tt0088473,Adventures in Wonderland,1992,"Comedy,Family,Fantasy"
tt0088655,AD Police Files,1990,"Animation,Crime,Sci-Fi"
tt0088656,A.D. Police File 2: The Ripper,1990,"Animation,Crime,Sci-Fi"
tt0088657,AD Police Files 3: The Man Who Bites His Tongue,1990,"Animation,Crime,Sci-Fi"
tt0089043,The Double Burden: Three Generations of Working Mothers,1992,Documentary
tt0089749,Otaku no video,1991,"Animation,Comedy,Drama"
tt0090869,Commando terrorista,1990,Action
tt0090008,Shattered Dreams,1990,Drama
tt0090144,Le temps des bouffons,1993,"Documentary,Short"
tt0090665,Halfaouine: Boy of the Terraces,1990,"Comedy,Drama"
